Name,URL,Description
RESideMenu,https://github.com/romaonthego/RESideMenu,iOS 7/8 style side menu with parallax effect.
backpack,https://github.com/jaredpalmer/backpack,🎒 Backpack is a minimalistic build system for Node.js projects.
bilibili-android-client,https://github.com/HotBitmapGG/bilibili-android-client,An unofficial bilibili client for android  http://www.jianshu.com/p/f69a55b94c05   -- 该项目已停止维护！
bxslider-4,https://github.com/stevenwanderski/bxslider-4,Responsive jQuery content slider
perfmap,https://github.com/zeman/perfmap,Front-end performance heatmap bookmarklet.
android-iconify,https://github.com/JoanZapata/android-iconify,"Android integration of multiple icon providers such as FontAwesome, Entypo, Typicons,..."
cheesesquare,https://github.com/chrisbanes/cheesesquare,Demos the new Android Design library.
UglifyJS-old,https://github.com/mishoo/UglifyJS-old,JavaScript parser / mangler / compressor / beautifier library for NodeJS
echo,https://github.com/toddmotto/echo,Lazy-loading images with data-* attributes
ZhiHuDaily-React-Native,https://github.com/race604/ZhiHuDaily-React-Native,A Zhihu Daily(http://daily.zhihu.com/) App client implemented using React Native (Android and iOS).
okayNav,https://github.com/VPenkov/okayNav,The world's okayest responsive navigation. This is (sort of) a legacy implementation. Please stay tuned to the 3.0 branch (https://github.com/VPenkov/okayNav/tree/v3.0)
MJExtension,https://github.com/CoderMJLee/MJExtension,"A fast, convenient and nonintrusive conversion framework between JSON and model. Your model class doesn't need to extend any base class. You don't need to modify any model file."
ASimpleCache,https://github.com/yangfuhai/ASimpleCache,a simple cache for android and java
oocss,https://github.com/stubbornella/oocss,Object Oriented CSS Framework
hotel,https://github.com/typicode/hotel,🏩 A simple process manager for developers. Start apps from your browser and access them using local domains
wxBot,https://github.com/liuwons/wxBot,Deprecated
nba-go,https://github.com/homerchen19/nba-go,🏀 💻 The finest NBA CLI.
octopress,https://github.com/imathis/octopress,Octopress is an obsessively designed framework for Jekyll blogging. It’s easy to configure and easy to deploy. Sweet huh?
emmet-sublime,https://github.com/sergeche/emmet-sublime,Emmet for Sublime Text
jQuery-menu-aim,https://github.com/kamens/jQuery-menu-aim,jQuery plugin to fire events when user's cursor aims at particular dropdown menu items. For making responsive mega dropdowns like Amazon's.
gqless,https://github.com/samdenty/gqless,a GraphQL client without queries
BabyBluetooth,https://github.com/coolnameismy/BabyBluetooth,":baby: The easiest way to use Bluetooth (BLE )in ios/os ,even bady can use . 一个非常容易使用的蓝牙库,适用于ios和os"
smoothscroll,https://github.com/iamdustan/smoothscroll,Scroll Behavior polyfill
stroll.js,https://github.com/hakimel/stroll.js,CSS3 list scroll effects
generator-gulp-angular,https://github.com/Swiip/generator-gulp-angular,Yeoman generator for AngularJS with GulpJS [UNMAINTAINED next iteration is FountainJS]
inuit.css,https://github.com/csswizardry/inuit.css,"Powerful, scalable, Sass-based, BEM, OOCSS framework."
js-assessment,https://github.com/rmurphey/js-assessment,A test-driven approach to assessing JS skills
colorbox,https://github.com/jackmoore/colorbox,"A light-weight, customizable lightbox plugin for jQuery"
app-launch-guide,https://github.com/adamwulf/app-launch-guide,"This aims to be an indie dev's definitive guide to building and launching your app, including pre-launch, marketing, building, QA, buzz building, and launch. More info at:"
json-editor,https://github.com/jdorn/json-editor,JSON Schema Based Editor
EZAudio,https://github.com/syedhali/EZAudio,"An iOS and macOS audio visualization framework built upon Core Audio useful for anyone doing real-time, low-latency audio processing and visualizations."
dialogplus,https://github.com/orhanobut/dialogplus,Advanced dialog solution for android
r2,https://github.com/mikeal/r2,HTTP client. Spiritual successor to request.
WebSocket-Node,https://github.com/theturtle32/WebSocket-Node,A WebSocket Implementation for Node.JS (Draft -08 through the final RFC 6455)
AwesomeMenu,https://github.com/levey/AwesomeMenu,Path 2.0 menu using CoreAnimation :)
rabl,https://github.com/nesquena/rabl,"General ruby templating with json, bson, xml, plist and msgpack support"
fsql,https://github.com/kashav/fsql,Search for files using a fun query language
critical,https://github.com/addyosmani/critical,Extract & Inline Critical-path CSS in HTML pages
Reader,https://github.com/vfr/Reader,PDF Reader Core for iOS
Flatabulous,https://github.com/anmoljagetia/Flatabulous,This is a Flat theme for Ubuntu and other Gnome based Linux Systems.
backbone-boilerplate,https://github.com/tbranyen/backbone-boilerplate,A workflow for building Backbone applications.
android-common,https://github.com/Trinea/android-common,"Android common lib, include ImageCache, HttpCache, DropDownListView, DownloadManager, Utils and so on"
Tesseract-OCR-iOS,https://github.com/gali8/Tesseract-OCR-iOS,"Tesseract OCR iOS is a Framework for iOS7+, compiled also for armv7s and arm64."
keras-js,https://github.com/transcranial/keras-js,"Run Keras models in the browser, with GPU support using WebGL"
libretaxi,https://github.com/ro31337/libretaxi,Open source Uber #deleteuber
stack-overflow-import,https://github.com/drathier/stack-overflow-import,Import arbitrary code from Stack Overflow as Python modules.
FXBlurView,https://github.com/nicklockwood/FXBlurView,[DEPRECATED]
JAViewer,https://github.com/SplashCodes/JAViewer,更优雅的驾车体验
javascript-patterns,https://github.com/chuanxshi/javascript-patterns,JavaScript Design Patterns
redux-devtools-extension,https://github.com/zalmoxisus/redux-devtools-extension,Redux DevTools extension.
GodEye,https://github.com/zixun/GodEye,"Automaticly display Log,Crash,Network,ANR,Leak,CPU,RAM,FPS,NetFlow,Folder and etc with one line of code based on Swift. Just like God opened his eyes"
ng-file-upload,https://github.com/danialfarid/ng-file-upload,Lightweight Angular directive to upload files with optional FileAPI shim for cross browser support
CRToast,https://github.com/cruffenach/CRToast,A modern iOS toast view that can fit your notification needs
twitter-bootstrap-rails,https://github.com/seyhunak/twitter-bootstrap-rails,"Twitter Bootstrap for Rails 6.0, Rails 5 - Rails 4.x Asset Pipeline"
BottomNavigation,https://github.com/Ashok-Varma/BottomNavigation,This Library helps users to use Bottom Navigation Bar (A new pattern from google) with ease and allows ton of customizations
the-platform,https://github.com/jaredpalmer/the-platform,Web. Components. 😂
blog,https://github.com/sorrycc/blog,💡
virtus,https://github.com/solnic/virtus,[DISCONTINUED ] Attributes on Steroids for Plain Old Ruby Objects
react-native-macos,https://github.com/ptmt/react-native-macos,[deprecated in favor of https://microsoft.github.io/react-native-windows/] React Native for macOS is an experimental fork for writing desktop apps using Cocoa
gallium,https://github.com/alexflint/gallium,Build desktop applications in Go and HTML.
unveil,https://github.com/luis-almeida/unveil,A very lightweight jQuery plugin to lazy load images
redux-tutorial,https://github.com/happypoulp/redux-tutorial,Learn how to use redux step by step
CSS-Guidelines,https://github.com/csswizardry/CSS-Guidelines,"High-level guidelines for writing manageable, maintainable CSS"
tinycon,https://github.com/tommoor/tinycon,"A small library for manipulating the favicon, in particular adding alert bubbles and changing images. "
Transitions-Everywhere,https://github.com/andkulikov/Transitions-Everywhere, Set of extra Transitions on top of Jetpack Transitions Library
vorpal,https://github.com/dthree/vorpal,Node's framework for interactive CLIs
angular-loading-bar,https://github.com/chieffancypants/angular-loading-bar,A fully automatic loading / progress bar for your angular apps.
animsition,https://github.com/blivesta/animsition,A simple and easy jQuery plugin for CSS animated page transitions.
chardin.js,https://github.com/pablof7z/chardin.js,Simple overlay instructions for your apps.
blog,https://github.com/dwqs/blog,:dog: :clap: :star2: Welcome to star
ideabook,https://github.com/phodal/ideabook,一个全栈增长工程师的练手项目集. A Growth Engineering Idea in Action.
RxJava-Android-Samples,https://github.com/kaushikgopal/RxJava-Android-Samples,Learning RxJava for Android by example
asi-http-request,https://github.com/pokeb/asi-http-request,"Easy to use CFNetwork wrapper for HTTP requests, Objective-C,  Mac OS X and iPhone"
pen,https://github.com/sofish/pen,enjoy live editing (+markdown)
BGABanner-Android,https://github.com/bingoogolapple/BGABanner-Android,引导界面滑动导航 + 大于等于1页时无限轮播 + 各种切换动画轮播效果
simpsons-in-css,https://github.com/pattle/simpsons-in-css,Simpsons characters in CSS
glamor,https://github.com/threepointone/glamor,inline css for react et al
angularjs-styleguide,https://github.com/toddmotto/angularjs-styleguide,AngularJS styleguide for teams
SystemProgramming,https://github.com/angrave/SystemProgramming,Angrave's Crowd-Sourced System Programming Book used at UIUC
